apertado	schmal
baixo	niedrig
famoso	berühmt
parado	still
feio	hässlich
sujo	dreckig
nublado	bewölkt
zangado	wütend
limpo	sauber
mole	weich
orgulhoso	stolz
educado	höflich
esperto	schlau
honesto	ehrlich
ocupado	beschäftigt
húmido	feucht
assustador	beängstigend
chato	nervig
parecido	ähnlich
escorregadio	aalglatt
talentoso	begabt
entusiasmado	begeistert
ignorante	blöd
mau	boshaft
burro	dumm
ambicioso	ehrgeizig
invejoso	neidisch
relaxante	entspannend
sério	ernst
preguiçoso	faul
cobarde	feig
paciente	geduldig
teimoso	stur
molhado	naß
depressivo	niedergeschlagen
embaraçoso	peinlich
mentiroso	lügnerisch
humilde	bescheiden
ingénuo	naiv
confiável	zuverlässig
corajoso	mutig
ansioso	sehnlich
infecioso	ansteckend
esgotado	ausverkauft
grave	schlimm
caseiro	häuslich
mimado	verwöhnt
aliviado	erleichtert
desesperado	verzweifelt
indeciso	unschlüssig
lamechas	kitschig
pesado	schwer
confuso	verwirrt
curioso	neugierig
atento	aufmerksam
chateado	sauer
schmal	apertado
niedrig	baixo
berühmt	famoso
still	parado
hässlich	feio
dreckig	sujo
bewölkt	nublado
wütend	zangado
sauber	limpo
weich	mole
stolz	orgulhoso
höflich	educado
schlau	esperto
ehrlich	honesto
beschäftigt	ocupado
feucht	húmido
beängstigend	assustador
nervig	chato
ähnlich	parecido
aalglatt	escorregadio
begabt	talentoso
begeistert	entusiasmado
blöd	ignorante
boshaft	mau
dumm	burro
ehrgeizig	ambicioso
neidisch	invejoso
entspannend	relaxante
ernst	sério
faul	preguiçoso
feig	cobarde
geduldig	paciente
stur	teimoso
naß	molhado
niedergeschlagen	depressivo
peinlich	embaraçoso
lügnerisch	mentiroso
bescheiden	humilde
naiv	ingénuo
zuverlässig	confiável
mutig	corajoso
sehnlich	ansioso
ansteckend	infecioso
ausverkauft	esgotado
schlimm	grave
häuslich	caseiro
verwöhnt	mimado
erleichtert	aliviado
verzweifelt	desesperado
unschlüssig	indeciso
kitschig	lamechas
schwer	pesado
verwirrt	confuso
neugierig	curioso
aufmerksam	atento
sauer	chateado
merkwürdig	estranho
estranho	merkwürdig
entäuscht	desiludido
desiludido	entäuscht
aufgeräumt	arrumado
arrumado	aufgeräumt
gleichgültig	desleixado
desleixado	gleichgültig
erschöpft	cansado
cansado	erschöpft
ständig	permanente
permanente	ständig
eigentlich	verdadeiro, na verdade
verdadeiro, na verdade	eigentlich
vernünftig	razoável
razoável	vernünftig
spannend	empolgante
empolgante	spannend
dringend	urgente
urgente	dringend
blass	pálido
pálido	blass
unvermittelt	de repente (u...)
de repente (u...)	unvermittelt
berufstätig	empregado
empregado	berufstätig
vorbereitet	preparado
preparado	vorbereitet
abwechslung	diversificado (a...)
diversificado (a...)	abwechslung
vielfältig	diversificado
diversificado	vielfältig
fähig	capaz
capaz	fähig
ehrenahmtlich	voluntário
voluntário	ehrenahmtlich
selbstlos	altruísta
altruísta	selbstlos
verantwortungsbewusst	responsável
responsável	verantwortungsbewusst
verständnisvoll	compreensivo
compreensivo	verständnisvoll
unternehmungslustig	aventureiro
aventureiro	unternehmungslustig
großzügig	generoso
generoso	großzügig
steil	íngreme
íngreme	steil
preocupado	besorgt
besorgt	preocupado
