as	wie
I	ich
his	seine
that	dass
he	er
was	war
for	für
on	auf
are	sind
with	mit
they	sie
be	sein
at	bei
one	ein
have	haben
this	dies
from	aus
by	durch
hot	heiß
word	Wort
but	aber
what	was
some	einige
is	ist
it	es
you	Sie
or	oder
had	hatte
the	die
of	von
to	zu
and	und
a	ein
in	bei
we	wir
can	können
out	aus
other	andere
were	waren
which	die
do	tun
their	ihre
time	Zeit
if	wenn
will	werden
how	wie
said	sagte
an	ein
each	jeder
tell	sagen
does	tut
set	Satz
three	drei
want	wollen
air	Luft
well	gut
also	auch
play	spielen
small	klein
end	Ende
put	setzen
home	Zuhause
read	lesen
hand	seits
port	Hafen
large	groß
spell	buchstabieren
add	hinzufügen
even	auch
land	Lande
here	hier
must	muss
big	groß
high	hoch
such	so
follow	folgen
act	Akt
why	warum
ask	fragen
men	Männer
change	Veränderung
went	ging
light	Licht
kind	Art
off	aus
need	müssen
house	Haus
picture	Bild
try	versuchen
us	uns
again	wieder
animal	Tier
point	Punkt
mother	Mutter
world	Welt
near	in der Nähe von
build	bauen
self	selbst
earth	Erde
father	Vater
any	jeder
new	neu
work	Arbeit
part	Teil
take	nehmen
get	erhalten
place	Ort
made	gemacht
live	leben
where	wo
after	nach
back	zurück
little	wenig
only	nur
round	Runde
man	Mann
year	Jahr
came	kam
show	zeigen
every	jeder
good	gut
me	mir
give	geben
our	unsere
under	unter
name	Name
very	sehr
through	durch
just	nur
form	Formular
sentence	Satz
great	groß
think	denken
say	sagen
help	Hilfe
low	niedrig
line	Linie
differ	abweichen
turn	wiederum
cause	Ursache
much	viel
mean	bedeuten
before	vor
move	Umzug
right	Recht
boy	Junge
old	alt
too	zu
same	gleich
she	sie
all	alle
there	da
when	wenn
up	nach oben
use	Verwendung
your	Ihre
way	Weg
about	über
many	viele
then	dann
them	sie
write	schreiben
would	würde
like	wie
so	so
these	diese
her	sie
long	lange
make	machen
thing	Sache
see	sehen
him	ihm
two	zwei
has	hat
look	suchen
more	mehr
day	Tag
could	könnte
go	gehen
come	kommen
did	tat
number	Anzahl
sound	klingen
no	nicht
most	am meisten
people	Menschen
my	meine
over	über
know	wissen
water	Wasser
than	als
call	Anruf
first	erste
who	die
may	können
down	nach unten
side	Seite
been	gewesen
now	jetzt
find	finden
head	Kopf
stand	stehen
own	besitzen
page	Seite
should	sollte
country	Land
found	gefunden
answer	Antwort
school	Schule
grow	wachsen
study	Studie
still	noch
learn	lernen
plant	Anlage
cover	Abdeckung
food	Lebensmittel
sun	Sonne
four	vier
between	zwischen
state	Zustand
keep	halten
eye	Auge
never	nie
last	letzte
let	lassen
thought	Gedanken
city	Stadt
tree	Baum
cross	überqueren
farm	Bauernhof
hard	schwer
start	Beginn
might	Macht
story	Geschichte
saw	Säge
far	weit
sea	Meer
draw	ziehen
left	links
late	spät
run	laufen
don’t	unterlassen Sie
while	während
press	Presse
close	Schließen
night	Nacht
real	realen
life	Leben
few	wenige
north	Norden
book	Buch
carry	tragen
took	nahm
science	Wissenschaft
eat	essen
room	Zimmer
friend	Freund
began	begann
idea	Idee
fish	Fisch
mountain	berg
stop	Stopp
once	einmal
base	Basis
hear	hören
horse	Pferd
cut	Schnitt
sure	sicher
watch	beobachten
color	Farbe
face	Gesicht
wood	Holz
main	Haupt-
open	geöffnet
seem	scheinen
together	zusammen
next	nächste
white	weiß
children	Kinder
begin	Start
got	bekam
walk	gehen
example	Beispiel
ease	erleichtern
paper	Papier
group	Gruppe
always	immer
music	Musik
those	diejenigen
both	beide
mark	Marke
often	oft
letter	Schreiben
until	bis
mile	Meile
river	Fluss
car	Auto
feet	Füße
care	Pflege
second	zweite
enough	genug
plain	Ebene
girl	Mädchen
usual	üblich
young	jung
ready	bereit
above	oben
ever	je
red	rot
list	Liste
though	obwohl
feel	fühlen
talk	Vortrag
bird	Vogel
soon	bald
body	Körper
dog	Hund
family	Familie
direct	direkt
pose	Pose
leave	verlassen
song	Lied
measure	messen
door	Tür
product	Produkt
black	schwarz
short	kurz
numeral	Zahl
class	Klasse
wind	Wind
question	Frage
happen	passieren
complete	vollständig
ship	Schiff
area	Bereich
half	Hälfte
rock	Stein
order	bestellen
fire	Feuer
south	Süden
problem	Problem
piece	Stück
told	sagte
knew	wusste
pass	passieren
since	seit
top	obere
whole	ganze
king	König
street	Straße
inch	Zoll
multiply	multiplizieren
nothing	nichts
course	Kurs
